"Table 1.12 Factors affecting occupational utilization, projected 2021-31",,,,
2020 National Employment Matrix occupation title,2021 National Empoyment Matrix occupation code,2021 National Employment Matrix industry title,2021 National Empoyment Matrix industry code,Factors affecting occupational utilization
Miscellaneous assemblers and fabricators,51-2090,Motor vehicle manufacturing,336100,"Productivity change - share decreases as an expected increase in the use of collaborative robotics in production increases efficiency, allowing more output to be produced with the same amount of labor."
Miscellaneous assemblers and fabricators,51-2090,Motor vehicle body and trailer manufacturing,336200,"Productivity change - share decreases as an expected increase in the use of collaborative robotics in production increases efficiency, allowing more output to be produced with the same amount of labor."
Miscellaneous assemblers and fabricators,51-2090,Motor vehicle parts manufacturing,336300,"Productivity change - share decreases as an expected increase in the use of collaborative robotics in production increases efficiency, allowing more output to be produced with the same amount of labor."
Miscellaneous assemblers and fabricators,51-2090,Aerospace product and parts manufacturing,336400,"Productivity change - share decreases as collaborative robotics increases efficiency, allowing more output to be produced with the same amount of labor."
Miscellaneous assemblers and fabricators,51-2090,Other transportation equipment manufacturing,336900,"Productivity change - share decreases as Internet of Things (IoT), additive manufacturing and collaborative robotics increase efficiency, allowing more output to be produced with the same amount of labor."
Bakers,51-3011,Bakeries and tortilla manufacturing,311800,Demand change - share increases as a variety of new baked goods are produced to meet increasing demand for convenient food.
Slaughterers and meat packers,51-3023,Animal slaughtering and processing,311600,Productivity change - share decreases as automated systems are adopted in slaughtering.
Food batchmakers,51-3092,Fruit and vegetable preserving and specialty food manufacturing,311400,"Demand change - share increases as a variety of new frozen, dried, and preserved goods are produced to meet increasing demand for convenient food."
Food batchmakers,51-3092,Bakeries and tortilla manufacturing,311800,Demand change - share increases as a variety of new baked goods are produced to meet increasing demand for convenient food.
Food cooking machine operators and tenders,51-3093,Total employment,TE1000,"Productivity change - share decreases as an expected increase in the adoption of automation technologies, such as robotics, makes food production processes more labor efficient."
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021,Total employment,TE1000,"Productivity change - share decreases as more processes can be performed by programmed machinery and improvements in software and equipment are expected to increase efficiency, allowing more output to be produced with the same amount of labor."
"Forging machine setters, operators, and tenders, metal and plastic",51-4022,Total employment,TE1000,"Productivity change - share decreases as manufacturers are expected to use more CNC, automated, and programmable machines to perform some functions or tasks previously done by these workers."
"Rolling machine setters, operators, and tenders, metal and plastic",51-4023,Total employment,TE1000,"Productivity change - share decreases as manufacturers are expected to use more CNC, automated, and programmable machines to perform some functions or tasks previously done by these workers."
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51-4031,Total employment,TE1000,"Productivity change - share decreases as manufacturers are expected to use more CNC, automated, and programmable machines to perform some functions or tasks previously done by these workers."
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",51-4032,Total employment,TE1000,"Productivity change - share decreases as manufacturers are expected to use more CNC, automated, and programmable machines to perform some functions or tasks previously done by these workers."
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51-4033,Total employment,TE1000,"Productivity change - share decreases as manufacturers are expected to use more CNC, automated, and programmable machines to perform some functions or tasks previously done by these workers."
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",51-4034,Total employment,TE1000,"Productivity change - share decreases as manufacturers are expected to use more CNC, automated, and programmable machines to perform some functions or tasks previously done by these workers."
"Milling and planing machine setters, operators, and tenders, metal and plastic",51-4035,Total employment,TE1000,"Productivity change - share decreases as robotics, CNC operated machines, and other programmable/automated machines replace less advanced machines. As a result, this will increase efficiency, allowing more output to be produced with the same amount of labor."
Metal-refining furnace operators and tenders,51-4051,Total employment,TE1000,"Productivity change - share decreases as modern furnaces incorporate more automation in monitoring and controlling of processes and systems. These changes are expected to increase productivity, allowing more output to be produced with the same amount of labor."
Metal-refining furnace operators and tenders,51-4051,Foundries,331500,"Productivity change - share decreases as modern furnaces incorporate more automation in monitoring and controlling of processes and systems. These changes are expected to increase productivity, allowing more output to be produced with the same amount of labor."
"Pourers and casters, metal",51-4052,Total employment,TE1000,"Productivity change - share decreases as robotics, CNC operated machines, and other programmable/automated machines replace less advanced machines. As a result, this will increase efficiency, allowing more output to be produced with the same amount of labor."
"Model makers, metal and plastic",51-4061,Total employment,TE1000,"Productivity change - share decreases as robotics, CNC operated machines, and other programmable/automated machines replace less advanced machines. As a result, this will increase efficiency, allowing more output to be produced with the same amount of labor."
"Patternmakers, metal and plastic",51-4062,Total employment,TE1000,"Productivity change - share decreases as some patternmaking tasks are done by programmable computer-controlled machinery, requiring fewer of these workers."
Foundry mold and coremakers,51-4071,Total employment,TE1000,"Productivity change - share decreases as robotics, CNC operated machines, and other programmable/automated machines replace less advanced machines. As a result, this will increase efficiency, allowing more output to be produced with the same amount of labor."
"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",51-4072,Total employment,TE1000,"Productivity change - share decreases as more processes can be performed by programmed machinery and improvements in software and equipment are expected to increase efficiency, allowing more output to be produced with the same amount of labor."
Tool and die makers,51-4111,Converted paper product manufacturing,322200,"Productivity change - share decreases as manufacturers use software programs to perform some tasks previously done by tool and die makers, such as specification analyses or setting up machines for cutting metal, allowing the same amount of output to be produced by fewer tool and die makers."
Tool and die makers,51-4111,Plastics product manufacturing,326100,"Productivity change - share decreases as manufacturers use software programs to perform some tasks previously done by tool and die makers, such as specification analyses or setting up machines for cutting metal, allowing the same amount of output to be produced by fewer tool and die makers."
Tool and die makers,51-4111,Foundries,331500,"Productivity change - share decreases as manufacturers use software programs to perform some tasks previously done by tool and die makers, such as specification analyses or setting up machines for cutting metal, allowing the same amount of output to be produced by fewer tool and die makers."
Tool and die makers,51-4111,Machine shops,332710,"Productivity change - share decreases as manufacturers use software programs to perform some tasks previously done by tool and die makers, such as specification analyses or setting up machines for cutting metal, allowing the same amount of output to be produced by fewer tool and die makers."
Tool and die makers,51-4111,"Turned product and screw, nut, and bolt manufacturing",332720,"Productivity change - share decreases as manufacturers use software programs to perform some tasks previously done by tool and die makers, such as specification analyses or setting up machines for cutting metal, allowing the same amount of output to be produced by fewer tool and die makers."
Tool and die makers,51-4111,"Fabricated metal product manufacturing (3321,2,5,6,9)",3320A1,"Productivity change - share decreases as manufacturers use software programs to perform some tasks previously done by tool and die makers, such as specification analyses or setting up machines for cutting metal, allowing the same amount of output to be produced by fewer tool and die makers."
Tool and die makers,51-4111,Metalworking machinery manufacturing,333500,"Productivity change - share decreases as manufacturers use software programs to perform some tasks previously done by tool and die makers, such as specification analyses or setting up machines for cutting metal, allowing the same amount of output to be produced by fewer tool and die makers."
Tool and die makers,51-4111,"Machinery manufacturing (3331,2,4,9)",3330A1,"Productivity change - share decreases as manufacturers use software programs to perform some tasks previously done by tool and die makers, such as specification analyses or setting up machines for cutting metal, allowing the same amount of output to be produced by fewer tool and die makers."
Tool and die makers,51-4111,Motor vehicle manufacturing,336100,"Productivity change - share decreases as manufacturers use software programs to perform some tasks previously done by tool and die makers, such as specification analyses or setting up machines for cutting metal, allowing the same amount of output to be produced by fewer tool and die makers."
Tool and die makers,51-4111,Motor vehicle parts manufacturing,336300,"Productivity change - share decreases as manufacturers use software programs to perform some tasks previously done by tool and die makers, such as specification analyses or setting up machines for cutting metal, allowing the same amount of output to be produced by fewer tool and die makers."
Tool and die makers,51-4111,Aerospace product and parts manufacturing,336400,"Productivity change - share decreases as manufacturers use software programs to perform some tasks previously done by tool and die makers, such as specification analyses or setting up machines for cutting metal, allowing the same amount of output to be produced by fewer tool and die makers."
"Welders, cutters, solderers, and brazers",51-4121,Ship and boat building,336600,"Productivity change - share decreases as welding robotics and other automated welding methods improve productivity, thus decreasing labor requirements."
"Welding, soldering, and brazing machine setters, operators, and tenders",51-4122,Total employment,TE1000,"Productivity change - share decreases as robotics, CNC operated machines, and other programmable/automated machines replace less advanced machines. As a result, this will increase efficiency, allowing more output to be produced with the same amount of labor."
"Welding, soldering, and brazing machine setters, operators, and tenders",51-4122,Motor vehicle parts manufacturing,336300,"Productivity change - share decreases as usage of programmable machines such as computer-controlled machinery increases, resulting in fewer workers needed to perform the tasks."
"Heat treating equipment setters, operators, and tenders, metal and plastic",51-4191,Total employment,TE1000,"Productivity change - share decreases as robotics, CNC operated machines, and other programmable/automated machines replace less advanced machines. As a result, this will increase efficiency, allowing more output to be produced with the same amount of labor."
"Layout workers, metal and plastic",51-4192,"Fabricated metal product manufacturing (3323,4)",3320A2,Capital/labor substitution - share decreases as the integration of programmable processes and equipment results in the replacement of workers.
"Layout workers, metal and plastic",51-4192,Aerospace product and parts manufacturing,336400,Capital/labor substitution - share decreases as the integration of programmable processes and equipment results in the replacement of workers.
"Layout workers, metal and plastic",51-4192,Ship and boat building,336600,Capital/labor substitution - share decreases as the integration of programmable processes and equipment results in the replacement of workers.
"Plating machine setters, operators, and tenders, metal and plastic",51-4193,Total employment,TE1000,"Productivity change - share decreases as robotics, CNC operated machines, and other programmable/automated machines replace less advanced machines. As a result, this will increase efficiency, allowing more output to be produced with the same amount of labor."
"Tool grinders, filers, and sharpeners",51-4194,Sawmills and wood preservation,321100,"Productivity change - share decreases as some tasks in tool grinding are programmed, requiring fewer of these workers."
"Tool grinders, filers, and sharpeners",51-4194,Foundries,331500,"Productivity change - share decreases as some tasks in tool grinding are programmed, requiring fewer of these workers."
"Tool grinders, filers, and sharpeners",51-4194,Machine shops,332710,"Productivity change - share decreases as some tasks in tool grinding are programmed, requiring fewer of these workers."
"Tool grinders, filers, and sharpeners",51-4194,"Fabricated metal product manufacturing (3321,2,5,6,9)",3320A1,"Productivity change - share decreases as some tasks in tool grinding are programmed, requiring fewer of these workers."
"Tool grinders, filers, and sharpeners",51-4194,Metalworking machinery manufacturing,333500,"Productivity change - share decreases as some tasks in tool grinding are programmed, requiring fewer of these workers."
"Tool grinders, filers, and sharpeners",51-4194,"Machinery manufacturing (3331,2,4,9)",3330A1,"Productivity change - share decreases as some tasks in tool grinding are programmed, requiring fewer of these workers."
"Tool grinders, filers, and sharpeners",51-4194,Motor vehicle parts manufacturing,336300,"Productivity change - share decreases as some tasks in tool grinding are programmed, requiring fewer of these workers."
"Tool grinders, filers, and sharpeners",51-4194,Aerospace product and parts manufacturing,336400,"Productivity change - share decreases as some tasks in tool grinding are programmed, requiring fewer of these workers."
"Tool grinders, filers, and sharpeners",51-4194,Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance,811300,"Productivity change - share decreases as some tasks in tool grinding are programmed, requiring fewer of these workers."
"Metal workers and plastic workers, all other",51-4199,Total employment,TE1000,"Productivity change - share decreases as the tasks of these machine operators are supplanted by programmable computer-controlled machinery, requiring fewer of these workers."
Prepress technicians and workers,51-5111,Printing and related support activities,323000,Productivity change - share decreases as software and hardware improvements increase the productivity of workers.
Prepress technicians and workers,51-5111,Newspaper publishers,511110,Productivity change - share decreases as software and hardware improvements increase the productivity of workers.
Print binding and finishing workers,51-5113,Printing and related support activities,323000,Capital/labor substitution - share decreases as the industry adopts automated binding technologies.
"Pressers, textile, garment, and related materials",51-6021,Drycleaning and laundry services,812300,Demand change - share decreases as demand declines due to the acceptance of casual dress in lieu of business attire and the continued use of wrinkle resistant fabrics.
Sewing machine operators,51-6031,Apparel manufacturing,315000,"Capital/labor substitution - share decreases as new technology (e.g. robots) allows manufacturers to automate arranging, cutting, fitting and sewing of apparel products once done by these workers."
"Sewers, hand",51-6051,Textile product mills,314000,Capital/labor substitution - share decreases as companies deploy automation machinery to sew garments instead of human sewers.
"Sewers, hand",51-6051,Apparel manufacturing,315000,Capital/labor substitution - share decreases as companies deploy automated machinery to sew garments instead of human sewers.
"Textile cutting machine setters, operators, and tenders",51-6062,Textile product mills,314000,"Capital/labor substitution - share decreases as new technology allows textile product mills to automate the cutting, sewing and storage of fabric materials once done by these workers."
"Textile cutting machine setters, operators, and tenders",51-6062,Apparel manufacturing,315000,"Capital/labor substitution - share decreases as new technology allows manufacturers to automate the cutting, sewing and storage of fabric materials once done by these workers."
"Textile knitting and weaving machine setters, operators, and tenders",51-6063,Apparel manufacturing,315000,Capital/labor substitution - share decreases as new technology allows textile knitting to become automated through the use of 3D garment knitting.
"Woodworking machine setters, operators, and tenders, except sawing",51-7042,Other wood product manufacturing,321900,Productivity change - share decreases as advances in CNC equipment allow for additional output to be produced by fewer woodworkers.
Power distributors and dispatchers,51-8012,Total employment,TE1000,Productivity change - share decreases as improved equipment monitoring systems reduce the need to manually check plant equipment.
Power plant operators,51-8013,Total employment,TE1000,Productivity change - share decreases as upgraded technologies incorporated into power plants will make power plant operators more productive.
Power plant operators,51-8013,Fossil fuel electric power generation,221112,Productivity change - share decreases as improved equipment monitoring systems reduce the need to manually check plant equipment.
Water and wastewater treatment plant and system operators,51-8031,Total employment,TE1000,Productivity change - share decreases as improved equipment monitoring systems reduce the need to manually check plant equipment.
Chemical plant and system operators,51-8091,Petroleum and coal products manufacturing,324000,"Productivity change - share decreases as process automation systems (PAS) will allow operators to make decisions faster and be more responsive and cover multiple locations, increasing plant efficiency and limiting time where production is less than optimized."
Chemical plant and system operators,51-8091,Pharmaceutical and medicine manufacturing,325400,"Productivity change - share decreases as process automation systems (PAS) will allow operators to make decisions faster and be more responsive and cover multiple locations, increasing plant efficiency and limiting time where production is less than optimized."
Chemical plant and system operators,51-8091,"Chemical manufacturing (3255,6)",3250A2,"Productivity change - share decreases as process automation systems (PAS) will allow operators to make decisions faster and be more responsive and cover multiple locations, increasing plant efficiency and limiting time where production is less than optimized."
Chemical plant and system operators,51-8091,"Chemical manufacturing (3251,2,3,9)",3250A1,"Productivity change - share decreases as process automation systems (PAS) will allow operators to make decisions faster and be more responsive and cover multiple locations, increasing plant efficiency and limiting time where production is less than optimized."
Gas plant operators,51-8092,Total employment,TE1000,"Productivity change - share decreases as improved process controls require less direct management, monitoring, and approval from operators due to automation."
"Petroleum pump system operators, refinery operators, and gaugers",51-8093,Oil and gas extraction,211000,"Productivity change - share decreases as technological advancements in robotics, automation, and digital solutions boost labor productivity and reduce staff requirements."
"Petroleum pump system operators, refinery operators, and gaugers",51-8093,Petroleum and coal products manufacturing,324000,Productivity change - share decreases as technological advancements in automation and digital solutions boost labor productivity and reduce staff requirements.
Chemical equipment operators and tenders,51-9011,Petroleum and coal products manufacturing,324000,Productivity change - share decreases as automation increases in petroleum and coal products manufacturing.
Chemical equipment operators and tenders,51-9011,Pharmaceutical and medicine manufacturing,325400,Productivity change - share decreases as an expected increase in automation and expanded use of continuous manufacturing boost productivity in pharmaceutical and medicine manufacturing.
Chemical equipment operators and tenders,51-9011,"Chemical manufacturing (3255,6)",3250A2,Productivity change - share decreases as automation increases in chemical manufacturing to improve quality.
Chemical equipment operators and tenders,51-9011,"Chemical manufacturing (3251,2,3,9)",3250A1,Productivity change - share decreases as automation increases in chemical manufacturing to improve quality.
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",51-9012,Dairy product manufacturing,311500,Productivity change - share decreases as automation increases in dairy product manufacturing to improve quality.
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",51-9012,Beverage manufacturing,312100,Productivity change - share decreases as automation increases in beverage manufacturing to improve quality.
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",51-9012,Pharmaceutical and medicine manufacturing,325400,Productivity change - share decreases as an expected increase in automation and expanded use of continuous manufacturing boost productivity in pharmaceutical and medicine manufacturing.
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",51-9012,"Chemical manufacturing (3255,6)",3250A2,Productivity change - share decreases as automation increases in chemical manufacturing to improve quality.
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",51-9012,"Chemical manufacturing (3251,2,3,9)",3250A1,Productivity change - share decreases as automation increases in chemical manufacturing to improve quality.
"Crushing, grinding, and polishing machine setters, operators, and tenders",51-9021,Total employment,TE1000,Productivity change - share decreases as machines are becoming capable of more functionalities and are more integrated with each other allowing workers to produce more.
"Grinding and polishing workers, hand",51-9022,Total employment,TE1000,Capital/labor substitution - share decreases as automation increases capacity and reduces the need for as many manual workers.
"Mixing and blending machine setters, operators, and tenders",51-9023,Animal food manufacturing,311100,"Productivity change - share decreases as new technologies, including data usage and machine connectivity (integration) in the production process, are used in monitoring and adjusting production process."
"Mixing and blending machine setters, operators, and tenders",51-9023,Other food manufacturing,311900,"Productivity change - share decreases as greater integration of manufacturing processes will allow mixing and blending machine setters, operators, and tenders to do more with fewer workers."
"Mixing and blending machine setters, operators, and tenders",51-9023,Pharmaceutical and medicine manufacturing,325400,Productivity change - share decreases as an expected increase in automation and expanded use of continuous manufacturing boost productivity in pharmaceutical and medicine manufacturing.
"Cutters and trimmers, hand",51-9031,Total employment,TE1000,Capital/labor substitution - share decreases as improved integration of systems and precision reduce the need for cutters and trimmers.
"Cutting and slicing machine setters, operators, and tenders",51-9032,Animal food manufacturing,311100,Capital/labor substitution - share decreases as animal food processing is increasingly automated.
"Cutting and slicing machine setters, operators, and tenders",51-9032,Fruit and vegetable preserving and specialty food manufacturing,311400,Capital/labor substitution - share decreases as fruit and vegetable processing is more fully automated.
"Cutting and slicing machine setters, operators, and tenders",51-9032,Dairy product manufacturing,311500,Capital/labor substitution - share decreases as increased automation replaces workers in dairy processing.
"Cutting and slicing machine setters, operators, and tenders",51-9032,Animal slaughtering and processing,311600,Capital/labor substitution - share decreases as improved AI and equipment allow for some workers to be replaced by technology.
"Cutting and slicing machine setters, operators, and tenders",51-9032,Seafood product preparation and packaging,311700,Capital/labor substitution - share decreases as improved AI and robotics increase the ability to automate seafood processing.
"Cutting and slicing machine setters, operators, and tenders",51-9032,Bakeries and tortilla manufacturing,311800,Capital/labor substitution - share decreases as improved technology allows the replacement of workers.
"Cutting and slicing machine setters, operators, and tenders",51-9032,Other food manufacturing,311900,Capital/labor substitution - share decreases as improved automation replaces workers.
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",51-9041,Animal food manufacturing,311100,"Productivity change - share decreases as automated food mixing, forming, and compacting equipment require fewer setters, operators, and tenders."
"Inspectors, testers, sorters, samplers, and weighers",51-9061,Total employment,TE1000,"Productivity change - share decreases as Internet of Things (IoT), 3D scanning, and related technologies increase productivity by enabling more accurate measurements/inspections in a shorter period of time by fewer inspectors."
"Inspectors, testers, sorters, samplers, and weighers",51-9061,Converted paper product manufacturing,322200,"Productivity change - share decreases as Internet of Things (IoT), 3D scanning, and related technologies increase productivity by enabling more accurate measurements/inspections in a shorter period of time by fewer inspectors."
"Inspectors, testers, sorters, samplers, and weighers",51-9061,Commercial and service industry machinery manufacturing,333300,"Productivity change - share decreases as Internet of Things (IoT), 3D scanning, and related technologies increase productivity by enabling more accurate measurements/inspections in a shorter period of time by fewer inspectors."
"Inspectors, testers, sorters, samplers, and weighers",51-9061,"Engine, turbine, and power transmission equipment manufacturing",333600,"Productivity change - share decreases as Internet of Things (IoT), 3D scanning, and related technologies increase productivity by enabling more accurate measurements/inspections in a shorter period of time by fewer inspectors."
"Inspectors, testers, sorters, samplers, and weighers",51-9061,Other transportation equipment manufacturing,336900,"Productivity change - share decreases as Internet of Things (IoT), 3D scanning, and related technologies increase productivity by enabling more accurate measurements/inspections in a shorter period of time by fewer inspectors."
Dental laboratory technicians,51-9081,Medical equipment and supplies manufacturing,339100,"Productivity change - share decreases as the continued adoption of digital manufacturing methods, such as 3D printing, makes the fabrication process of dental devices more labor efficient."
Dental laboratory technicians,51-9081,Offices of dentists,621200,"Productivity change - share decreases as the continued adoption of digital manufacturing methods, such as 3D printing, makes the fabrication process of dental devices more labor efficient."
Medical appliance technicians,51-9082,Medical equipment and supplies manufacturing,339100,Productivity change - share decreases as the adoption of additive manufacturing technologies makes the fabrication process of orthoses and prostheses more labor efficient.
Ophthalmic laboratory technicians,51-9083,Commercial and service industry machinery manufacturing,333300,Productivity change - share decreases as continued automation makes the optical lens fabrication process more labor efficient.
Ophthalmic laboratory technicians,51-9083,Medical equipment and supplies manufacturing,339100,Productivity change - share decreases as continued automation makes the eyewear fabrication process more labor efficient.
Packaging and filling machine operators and tenders,51-9111,Animal food manufacturing,311100,"Productivity change - share decreases as automated filling, bagging, packing, and palletizing equipment is used in new facilities and will require fewer operators and tenders."
Packaging and filling machine operators and tenders,51-9111,Bakeries and tortilla manufacturing,311800,Demand change - share increases as a variety of new baked goods are produced to meet increasing demand for convenient food.
Packaging and filling machine operators and tenders,51-9111,Beverage manufacturing,312100,"Productivity change - share decreases as automated filling, packaging, and palletizing equipment is used in new facilities and will require fewer operators and tenders."
Photographic process workers and processing machine operators,51-9151,Pharmacies and drug stores,446110,"Demand change, productivity change - share decreases as technology allows consumers to easily print their own photos instead of relying on a service. People also print fewer photos and store them on computer or online."
Photographic process workers and processing machine operators,51-9151,Other personal services,812900,"Demand change, productivity change - share decreases as technology allows consumers to easily print their own photos instead of relying on a service. People also print fewer photos and store them on the computer or online."
Computer numerically controlled tool operators,51-9161,Total employment,TE1000,"Productivity change - share decreases as computer-controlled machine tool programmers are able to control more machines at once, which means fewer operators are needed to handle them."
Computer numerically controlled tool programmers,51-9162,Total employment,TE1000,"Demand change - share increases as manufacturers increase efficiency through more computer numerically controlled, automated, and programmable machines requiring programming by these workers."
"Molders, shapers, and casters, except metal and plastic",51-9195,Nonmetallic mineral product manufacturing,327000,"Demand change - share increases as more prefabricated concrete products are used in construction, requiring workers to mold, shape, or cast these products."
Helpers--production workers,51-9198,Total employment,TE1000,Capital/labor substitution - share decreases as automation continues to replace production worker helpers in manufacturing facilities.
Helpers--production workers,51-9198,Temporary help services,561320,Demand change - share decreases as manufacturing facilities require fewer of these helpers as facilities become more automated.
"First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors",53-1047,Warehousing and storage,493000,"Demand change - share decreases as increased use of automated guided vehicles requires fewer operators, resulting in fewer supervisors."
Air traffic controllers,53-2021,"Federal government, excluding postal service",999100,Demand change - share increases as air traffic volume is expected to increase over the period.
Flight attendants,53-2031,Scheduled air transportation,481100,"Demand change - share increases as airlines continue to replace smaller planes with larger aircraft or add more seats to the existing planes, which will result in more flight attendants on average per aircraft."
"Ambulance drivers and attendants, except emergency medical technicians",53-3011,Ambulance services,621910,"Occupational substitution - share decreases as emergency medical technicians and paramedics increasingly take on the tasks of ambulance drivers and attendants as part of their now standard set of duties and responsibilities. Being able to drive an ambulance is also an implicit skill required from technicians and paramedics, contributing further to this trend."
"Ambulance drivers and attendants, except emergency medical technicians",53-3011,"Local government, excluding education and hospitals",999300,"Occupational substitution - share decreases as emergency medical technicians and paramedics increasingly take on the tasks of ambulance drivers and attendants as part of their now standard set of duties and responsibilities. Being able to drive an ambulance is also an implicit skill required from technicians and paramedics, contributing further to this trend."
Driver/sales workers,53-3031,Grocery and specialty food stores,4450A1,Demand change - share increases as grocery stores increasingly add food delivery to their services and some grocery stores choose to employ their own drivers to handle deliveries.
Driver/sales workers,53-3031,Vending machine operators,454200,Productivity change - share decreases as technological improvements in vending machines provide automatic reporting (back to supply chain) and thus allow drivers to deliver wares to more machines on a single route.
Driver/sales workers,53-3031,Local messengers and local delivery,492200,Demand change - share increases as strong demand for both restaurant meal delivery and grocery delivery services will require more driver/sales workers to facilitate these transactions.
Driver/sales workers,53-3031,Full-service restaurants,722511,Demand change - share increases as restaurants increasingly add food delivery to their services and some restaurants choose to employ their own drivers to handle deliveries.
Heavy and tractor-trailer truck drivers,53-3032,Metal ore mining,212200,Capital/labor substitution - share decreases as the industry adopts autonomous vehicles such as hauling trucks.
Heavy and tractor-trailer truck drivers,53-3032,Nonmetallic mineral mining and quarrying,212300,Capital/labor substitution - share decreases as the industry adopts autonomous vehicles such as hauling trucks.
Heavy and tractor-trailer truck drivers,53-3032,"Highway, street, and bridge construction",237300,Demand change - share increases as more drivers are needed to deliver components and materials to construction sites.
Heavy and tractor-trailer truck drivers,53-3032,Other specialty trade contractors,238900,Demand change - share increases as more drivers are needed to deliver components and materials to construction sites.
Light truck drivers,53-3033,Truck transportation,484000,"Demand change, capital/labor substitution - share increases as demand from e-commerce growth results in greater volumes of home delivery, which requires more drivers relative to other occupations. This will be slightly counter-balanced by the implementation of drone delivery technology, which will reduce the needed number of light truck drivers."
Light truck drivers,53-3033,Couriers and express delivery services,492100,"Demand change, capital/labor substitution - share increases as demand from e-commerce growth results in greater volumes of home delivery, which requires more drivers relative to other occupations. This will be slightly counter-balanced by the implementation of drone delivery technology, which will reduce the needed number of light truck drivers."
Light truck drivers,53-3033,Local messengers and local delivery,492200,"Demand change, capital/labor substitution - share increases as demand from e-commerce growth results in greater volumes of home delivery, which requires more drivers relative to other occupations. This will be slightly counter-balanced by the implementation of drone delivery technology, which will reduce the needed number of light truck drivers."
Shuttle drivers and chauffeurs,53-3053,School and employee bus transportation,485400,Sourcing change - share increases as more school districts contract out bus transportation.
Shuttle drivers and chauffeurs,53-3053,Elementary and secondary schools; local,611103,Sourcing change - share decreases as more local schools contract out bus transportation.
Taxi drivers,53-3054,School and employee bus transportation,485400,Sourcing change - share increases as more school districts contract out bus transportation.
Taxi drivers,53-3054,Elementary and secondary schools; local,611103,Sourcing change - share decreases as more local schools contract out bus transportation.
"Railroad brake, signal, and switch operators and locomotive firers",53-4022,Rail transportation,482000,"Capital/labor substitution - share decreases as the tasks of watching for rights-of-way, train signals, and looking out for obstructions will be automatically handled by Positive Train Control (PTC)."
Parking attendants,53-6021,Other personal services,812900,Capital/labor substitution - share decreases as automated parking machines replace the tasks previously done by human parking attendants.
Automotive and watercraft service attendants,53-6031,Automobile dealers,441100,Demand change - share increases as automobile dealers continue to offer more vehicle repair and maintenance services and drivers increasingly prefer to take their vehicle to a dealer for servicing.
Automotive and watercraft service attendants,53-6031,Other automotive repair and maintenance,811190,Demand change - share decreases as improvements in vehicle reliability and durability reduce demand for automotive repair and maintenance services as the lifespan of parts and systems continues to increase. An expected greater share of hybrid vehicles and electric vehicles (EVs) on the road is also expected to reduce demand for some repair and maintenance services.
Conveyor operators and tenders,53-7011,"Merchant wholesalers, durable goods (4232,3,5,6,7,9)",4230A1,Productivity change - share decreases as firms use technology to supplant some functions of these operators.
Conveyor operators and tenders,53-7011,Warehousing and storage,493000,Productivity change - share decreases as firms use technology to supplant some functions of these operators.
Crane and tower operators,53-7021,Support activities for water transportation,488300,Capital/labor substitution - share decreases as increased ship sizes are causing ports to automate their operations in order to meet shipping schedules and demand.
Dredge operators,53-7031,Total employment,TE1000,"Productivity change - share decreases as dredge control and monitoring systems become more advanced as dredging processes become increasingly more complex, increasing the productivity of dredge operators."
Hoist and winch operators,53-7041,Support activities for water transportation,488300,Capital/labor substitution - share decreases as increased ship sizes are causing ports to automate their operations in order to meet shipping schedules and demand.
Industrial truck and tractor operators,53-7051,Nonmetallic mineral mining and quarrying,212300,Productivity change - share decreases as the industry adopts semi-autonomous construction equipment.
Industrial truck and tractor operators,53-7051,Warehousing and storage,493000,Capital/labor substitution - share decreases as the increased use of automated guided vehicles replaces these operators.
Cleaners of vehicles and equipment,53-7061,Automobile dealers,441100,Demand change - share increases as automobile dealers continue to offer more vehicle repair and maintenance services and drivers increasingly prefer to take their vehicle to a dealer for servicing.
"Laborers and freight, stock, and material movers, hand",53-7062,Animal food manufacturing,311100,"Capital/labor substitution - share decreases as automated filling, bagging, packing, and palletizing equipment is used in new facilities and will require fewer laborers."
"Laborers and freight, stock, and material movers, hand",53-7062,Warehousing and storage,493000,Capital/labor substitution - share decreases as warehouses implement robotics technology to replace manual labor tasks in warehouses.
"Packers and packagers, hand",53-7064,Animal food manufacturing,311100,"Capital/labor substitution - share decreases as automated filling, bagging, packing, and palletizing equipment is used in new facilities instead of hand packers."
"Packers and packagers, hand",53-7064,Grocery and specialty food stores,4450A1,"Demand change, capital/labor substitution - share decreases as online grocery orders for pickup or delivery increase and self-checkout systems become more common."
