"Table 1.7 Occupational projections, 2021-31, and worker characteristics, 2021 (Numbers in thousands)",,,,,,,,,,,,
2021 National Employment Matrix title,2021 National Employment Matrix code,Occupation type,"Employment, 2021","Employment, 2031","Employment change, 2021-31","Percent employment change, 2021-31","Percent self employed, 2021","Occupational openings, 2021-31 annual average","Median annual wage, 2021(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
Miscellaneous personal appearance workers,39-5090,Summary,269.8,322.4,52.6,19.5,30.2,44.3,"$29,450",—,—,—
"Makeup artists, theatrical and performance",39-5091,Line item,4.4,4.7,0.3,7.0,52.5,0.7,"$134,750",Postsecondary nondegree award,None,None
Manicurists and pedicurists,39-5092,Line item,163.6,200.3,36.6,22.4,23.9,26.6,"$29,210",Postsecondary nondegree award,None,None
Shampooers,39-5093,Line item,21.2,23.5,2.2,10.6,53.5,3.5,"$24,440",No formal educational credential,None,Short-term on-the-job training
Skincare specialists,39-5094,Line item,80.5,93.9,13.4,16.7,35.4,13.5,"$37,300",Postsecondary nondegree award,None,None
"Baggage porters, bellhops, and concierges",39-6000,Summary,56.8,64.9,8.2,14.4,0.3,10.3,"$30,720",—,—,—
Baggage porters and bellhops,39-6011,Line item,21.7,26.0,4.2,19.4,0.3,4.1,"$29,120",High school diploma or equivalent,None,Short-term on-the-job training
Concierges,39-6012,Line item,35.0,39.0,3.9,11.2,0.3,6.1,"$35,210",High school diploma or equivalent,None,Moderate-term on-the-job training
Tour and travel guides,39-7000,Summary,43.4,50.0,6.6,15.3,21.8,9.6,"$29,780",—,—,—
Tour and travel guides,39-7010,Line item,43.4,50.0,6.6,15.3,21.8,9.6,"$29,780",High school diploma or equivalent,None,Moderate-term on-the-job training
Other personal care and service workers,39-9000,Summary,"1,738.6","1,922.0",183.4,10.5,19.0,338.8,"$29,540",—,—,—
Childcare workers,39-9011,Line item,949.0,"1,010.6",61.6,6.5,25.6,170.1,"$27,490",High school diploma or equivalent,None,Short-term on-the-job training
Recreation and fitness workers,39-9030,Summary,586.0,671.8,85.8,14.6,11.5,127.2,"$30,930",—,—,—
Exercise trainers and group fitness instructors,39-9031,Line item,306.4,364.2,57.8,18.9,22.0,65.5,"$40,700",High school diploma or equivalent,None,Short-term on-the-job training
Recreation workers,39-9032,Line item,279.6,307.7,28.1,10.0,—,61.7,"$29,680",High school diploma or equivalent,None,Short-term on-the-job training
Residential advisors,39-9041,Line item,99.3,109.2,9.9,10.0,—,18.9,"$31,220",High school diploma or equivalent,None,Short-term on-the-job training
"Personal care and service workers, all other",39-9099,Line item,104.4,130.4,26.0,24.9,18.9,22.6,"$29,610",High school diploma or equivalent,None,Short-term on-the-job training
Sales and related occupations,41-0000,Summary,"14,719.9","14,555.4",-164.5,-1.1,8.4,"1,948.8","$30,600",—,—,—
Supervisors of sales workers,41-1000,Summary,"1,912.6","1,833.0",-79.6,-4.2,26.7,190.1,"$46,850",—,—,—
First-line supervisors of retail sales workers,41-1011,Line item,"1,505.7","1,427.5",-78.2,-5.2,23.4,153.0,"$39,230",High school diploma or equivalent,Less than 5 years,None
First-line supervisors of non-retail sales workers,41-1012,Line item,406.9,405.5,-1.4,-0.3,38.6,37.1,"$79,680",High school diploma or equivalent,Less than 5 years,None
Retail sales workers,41-2000,Summary,"7,906.5","7,589.6",-316.9,-4.0,2.0,"1,219.0","$28,680",—,—,—
Cashiers,41-2010,Summary,"3,389.4","3,053.3",-336.1,-9.9,0.3,574.0,"$27,280",—,—,—
Cashiers,41-2011,Line item,"3,371.6","3,036.0",-335.7,-10.0,0.3,570.7,"$27,260",No formal educational credential,None,Short-term on-the-job training
Gambling change persons and booth cashiers,41-2012,Line item,17.8,17.4,-0.4,-2.3,—,3.3,"$28,600",No formal educational credential,None,Short-term on-the-job training
Counter and rental clerks and parts salespersons,41-2020,Summary,661.8,688.8,26.9,4.1,1.4,86.2,"$31,780",—,—,—
Counter and rental clerks,41-2021,Line item,391.4,408.6,17.3,4.4,1.8,50.6,"$31,330",No formal educational credential,None,Short-term on-the-job training
Parts salespersons,41-2022,Line item,270.5,280.1,9.7,3.6,0.9,35.6,"$34,260",No formal educational credential,None,Moderate-term on-the-job training
Retail salespersons,41-2031,Line item,"3,855.2","3,847.5",-7.8,-0.2,3.6,558.8,"$29,120",No formal educational credential,None,Short-term on-the-job training
"Sales representatives, services",41-3000,Summary,"2,200.9","2,354.0",153.1,7.0,5.6,242.9,"$60,550",—,—,—
Advertising sales agents,41-3011,Line item,100.7,92.7,-8.0,-7.9,2.4,10.9,"$52,340",High school diploma or equivalent,None,Moderate-term on-the-job training
Insurance sales agents,41-3021,Line item,523.2,556.2,32.9,6.3,13.8,52.7,"$49,840",High school diploma or equivalent,None,Moderate-term on-the-job training
"Securities, commodities, and financial services sales agents",41-3031,Line item,466.9,514.5,47.7,10.2,6.1,46.6,"$62,910",Bachelor's degree,None,Moderate-term on-the-job training
Travel agents,41-3041,Line item,46.2,55.3,9.1,19.7,16.2,7.5,"$43,810",High school diploma or equivalent,None,Moderate-term on-the-job training
"Sales representatives of services, except advertising, insurance, financial services, and travel",41-3091,Line item,"1,063.9","1,135.3",71.4,6.7,1.1,125.3,"$60,550",High school diploma or equivalent,None,Moderate-term on-the-job training
"Sales representatives, wholesale and manufacturing",41-4000,Summary,"1,597.6","1,660.9",63.3,4.0,3.2,170.0,"$62,890",—,—,—
"Sales representatives, wholesale and manufacturing, technical and scientific products",41-4011,Line item,280.7,295.1,14.4,5.1,3.2,30.4,"$94,840",Bachelor's degree,None,Moderate-term on-the-job training
"Sales representatives, wholesale and manufacturing, except technical and scientific products",41-4012,Line item,"1,316.9","1,365.8",48.9,3.7,3.2,139.7,"$61,600",High school diploma or equivalent,None,Moderate-term on-the-job training
Other sales and related workers,41-9000,Summary,"1,102.3","1,118.0",15.7,1.4,36.3,126.7,"$36,590",—,—,—
"Models, demonstrators, and product promoters",41-9010,Summary,48.7,50.0,1.3,2.7,10.2,9.0,"$32,730",—,—,—
Demonstrators and product promoters,41-9011,Line item,46.2,47.3,1.1,2.4,10.3,8.6,"$32,350",No formal educational credential,None,Short-term on-the-job training
Models,41-9012,Line item,2.4,2.6,0.2,9.2,8.3,0.5,—,No formal educational credential,None,None
Real estate brokers and sales agents,41-9020,Summary,562.1,592.2,30.1,5.4,58.4,54.8,"$48,770",—,—,—
Real estate brokers,41-9021,Line item,123.1,130.2,7.1,5.7,58.9,12.1,"$62,010",High school diploma or equivalent,Less than 5 years,None
Real estate sales agents,41-9022,Line item,438.9,462.0,23.1,5.3,58.2,42.8,"$48,340",High school diploma or equivalent,None,Moderate-term on-the-job training
Sales engineers,41-9031,Line item,60.7,64.1,3.4,5.7,—,6.9,"$103,710",Bachelor's degree,None,Moderate-term on-the-job training
Telemarketers,41-9041,Line item,115.7,94.7,-21.0,-18.2,0.4,13.3,"$28,910",No formal educational credential,None,Short-term on-the-job training
Miscellaneous sales and related workers,41-9090,Summary,315.2,317.0,1.8,0.6,20.9,42.7,"$29,570",—,—,—
"Door-to-door sales workers, news and street vendors, and related workers",41-9091,Line item,54.7,49.0,-5.7,-10.4,85.4,6.1,"$29,390",No formal educational credential,None,Short-term on-the-job training
"Sales and related workers, all other",41-9099,Line item,260.5,268.0,7.5,2.9,7.4,36.6,"$29,570",High school diploma or equivalent,None,None
Office and administrative support occupations,43-0000,Summary,"19,587.0","18,706.2",-880.8,-4.5,1.7,"2,236.2","$38,050",—,—,—
Supervisors of office and administrative support workers,43-1000,Summary,"1,521.8","1,493.5",-28.3,-1.9,0.6,159.6,"$60,590",—,—,—
First-line supervisors of office and administrative support workers,43-1011,Line item,"1,521.8","1,493.5",-28.3,-1.9,0.6,159.6,"$60,590",High school diploma or equivalent,Less than 5 years,None
Communications equipment operators,43-2000,Summary,54.6,41.9,-12.7,-23.3,—,4.6,"$30,720",—,—,—
"Switchboard operators, including answering service",43-2011,Line item,49.0,37.2,-11.8,-24.0,—,4.0,"$30,150",High school diploma or equivalent,None,Short-term on-the-job training
Telephone operators,43-2021,Line item,4.0,3.0,-1.0,-24.5,—,0.4,"$37,630",High school diploma or equivalent,None,Short-term on-the-job training
"Communications equipment operators, all other",43-2099,Line item,1.6,1.7,0.1,3.3,—,0.2,"$47,000",High school diploma or equivalent,None,Short-term on-the-job training
Financial clerks,43-3000,Summary,"3,011.6","2,851.2",-160.5,-5.3,3.0,331.2,"$38,830",—,—,—
Bill and account collectors,43-3011,Line item,215.4,197.9,-17.5,-8.1,0.3,22.1,"$37,700",High school diploma or equivalent,None,Moderate-term on-the-job training
Billing and posting clerks,43-3021,Line item,445.3,450.0,4.7,1.1,0.9,51.5,"$38,330",High school diploma or equivalent,None,Moderate-term on-the-job training
"Bookkeeping, accounting, and auditing clerks",43-3031,Line item,"1,707.8","1,630.6",-77.2,-4.5,4.9,197.6,"$45,560","Some college, no degree",None,Moderate-term on-the-job training
Gambling cage workers,43-3041,Line item,11.6,11.6,0.0,0.3,1.0,1.3,"$29,360",High school diploma or equivalent,None,Short-term on-the-job training
Payroll and timekeeping clerks,43-3051,Line item,157.7,133.9,-23.8,-15.1,0.4,13.8,"$47,610",High school diploma or equivalent,None,Moderate-term on-the-job training
Procurement clerks,43-3061,Line item,63.9,59.6,-4.3,-6.8,—,5.8,"$45,150",High school diploma or equivalent,None,Moderate-term on-the-job training
Tellers,43-3071,Line item,378.0,334.3,-43.7,-11.6,0.3,35.1,"$36,310",High school diploma or equivalent,None,Short-term on-the-job training
"Financial clerks, all other",43-3099,Line item,31.9,33.3,1.4,4.4,2.0,3.8,"$46,900",High school diploma or equivalent,None,Short-term on-the-job training
Information and record clerks,43-4000,Summary,"5,720.4","5,601.8",-118.6,-2.1,0.7,751.5,"$36,770",—,—,—
Brokerage clerks,43-4011,Line item,41.0,38.9,-2.1,-5.1,0.8,4.5,"$54,000",High school diploma or equivalent,None,Moderate-term on-the-job training
Correspondence clerks,43-4021,Line item,7.8,7.6,-0.2,-2.1,5.2,0.9,"$37,920",High school diploma or equivalent,None,Short-term on-the-job training
"Court, municipal, and license clerks",43-4031,Line item,156.8,159.8,3.0,1.9,1.9,18.3,"$44,610",High school diploma or equivalent,None,Long-term on-the-job training
"Credit authorizers, checkers, and clerks",43-4041,Line item,17.3,16.6,-0.7,-3.9,1.5,1.7,"$44,710",High school diploma or equivalent,None,Moderate-term on-the-job training
Customer service representatives,43-4051,Line item,"2,898.9","2,793.6",-105.3,-3.6,0.5,389.4,"$36,920",High school diploma or equivalent,None,Short-term on-the-job training
"Eligibility interviewers, government programs",43-4061,Line item,156.9,156.9,0.0,0.0,—,15.4,"$47,420",High school diploma or equivalent,None,Moderate-term on-the-job training
File clerks,43-4071,Line item,93.4,82.2,-11.1,-11.9,3.6,10.0,"$36,360",High school diploma or equivalent,None,Short-term on-the-job training
"Hotel, motel, and resort desk clerks",43-4081,Line item,238.8,273.1,34.3,14.4,0.2,49.2,"$28,080",High school diploma or equivalent,None,Short-term on-the-job training
"Interviewers, except eligibility and loan",43-4111,Line item,176.3,161.7,-14.6,-8.3,—,20.7,"$37,220",High school diploma or equivalent,None,Short-term on-the-job training
"Library assistants, clerical",43-4121,Line item,82.5,79.5,-3.1,-3.7,—,13.3,"$29,450",High school diploma or equivalent,None,Short-term on-the-job training
Loan interviewers and clerks,43-4131,Line item,247.0,245.4,-1.7,-0.7,0.7,23.3,"$45,940",High school diploma or equivalent,None,Short-term on-the-job training
New accounts clerks,43-4141,Line item,41.7,36.9,-4.8,-11.6,—,3.9,"$37,840",High school diploma or equivalent,None,Moderate-term on-the-job training
Order clerks,43-4151,Line item,143.9,119.7,-24.2,-16.8,5.4,13.0,"$37,920","Some college, no degree",None,Short-term on-the-job training
"Human resources assistants, except payroll and timekeeping",43-4161,Line item,106.1,101.3,-4.8,-4.5,—,11.2,"$45,630",Associate's degree,None,None
Receptionists and information clerks,43-4171,Line item,"1,037.1","1,041.4",4.3,0.4,0.7,142.3,"$29,950",High school diploma or equivalent,None,Short-term on-the-job training
Reservation and transportation ticket agents and travel clerks,43-4181,Line item,109.2,117.3,8.1,7.4,1.4,14.3,"$39,900",High school diploma or equivalent,None,Short-term on-the-job training
"Information and record clerks, all other",43-4199,Line item,165.6,169.8,4.2,2.6,0.3,20.1,"$43,160",High school diploma or equivalent,None,Short-term on-the-job training
"Material recording, scheduling, dispatching, and distributing workers",43-5000,Summary,"2,349.6","2,290.6",-59.0,-2.5,5.0,233.5,"$42,030",—,—,—
Cargo and freight agents,43-5011,Line item,88.6,96.5,7.8,8.8,—,11.2,"$46,910",High school diploma or equivalent,None,Short-term on-the-job training
Couriers and messengers,43-5021,Line item,178.9,178.3,-0.6,-0.3,60.0,19.1,"$33,050",High school diploma or equivalent,None,Short-term on-the-job training
Dispatchers,43-5030,Summary,302.4,306.2,3.8,1.2,1.1,31.6,"$45,510",—,—,—
Public safety telecommunicators,43-5031,Line item,99.5,103.2,3.6,3.6,—,10.9,"$46,670",High school diploma or equivalent,None,Moderate-term on-the-job training
"Dispatchers, except police, fire, and ambulance",43-5032,Line item,202.9,203.0,0.1,0.1,1.7,20.7,"$44,050",High school diploma or equivalent,None,Moderate-term on-the-job training
"Meter readers, utilities",43-5041,Line item,24.5,21.8,-2.7,-10.9,—,1.6,"$45,720",High school diploma or equivalent,None,Short-term on-the-job training
Postal service workers,43-5050,Summary,507.1,477.8,-29.3,-5.8,—,38.1,"$51,730",—,—,—
Postal service clerks,43-5051,Line item,76.3,72.7,-3.6,-4.8,—,6.4,"$52,290",High school diploma or equivalent,None,Short-term on-the-job training
Postal service mail carriers,43-5052,Line item,322.9,307.4,-15.4,-4.8,—,22.8,"$52,440",High school diploma or equivalent,None,Short-term on-the-job training
"Postal service mail sorters, processors, and processing machine operators",43-5053,Line item,107.9,97.7,-10.2,-9.4,—,8.9,"$48,550",High school diploma or equivalent,None,Short-term on-the-job training
"Production, planning, and expediting clerks",43-5061,Line item,377.9,396.8,18.9,5.0,0.4,44.8,"$48,040",High school diploma or equivalent,None,Moderate-term on-the-job training
"Shipping, receiving, and inventory clerks",43-5071,Line item,814.3,757.2,-57.1,-7.0,0.6,80.7,"$36,890",High school diploma or equivalent,None,Short-term on-the-job training
"Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,Line item,55.9,56.0,0.1,0.1,1.2,6.4,"$37,610",High school diploma or equivalent,None,Short-term on-the-job training
Secretaries and administrative assistants,43-6000,Summary,"3,413.6","3,126.7",-286.9,-8.4,1.3,354.0,"$39,680",—,—,—
Executive secretaries and executive administrative assistants,43-6011,Line item,508.0,405.4,-102.6,-20.2,0.3,42.3,"$62,060",High school diploma or equivalent,Less than 5 years,None
Legal secretaries and administrative assistants,43-6012,Line item,157.8,127.5,-30.4,-19.2,—,14.6,"$47,710",High school diploma or equivalent,None,Moderate-term on-the-job training
Medical secretaries and administrative assistants,43-6013,Line item,672.3,725.8,53.6,8.0,0.1,85.8,"$37,450",High school diploma or equivalent,None,Moderate-term on-the-job training
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,Line item,"2,075.6","1,868.0",-207.6,-10.0,2.1,211.2,"$37,880",High school diploma or equivalent,None,Short-term on-the-job training
Other office and administrative support workers,43-9000,Summary,"3,515.4","3,300.5",-214.8,-6.1,1.1,401.9,"$37,180",—,—,—
Data entry and information processing workers,43-9020,Summary,202.0,145.9,-56.1,-27.8,2.5,16.3,"$36,850",—,—,—
Data entry keyers,43-9021,Line item,155.9,117.4,-38.5,-24.7,1.4,13.1,"$35,630",High school diploma or equivalent,None,Short-term on-the-job training
Word processors and typists,43-9022,Line item,46.1,28.5,-17.6,-38.2,6.6,3.1,"$44,030",High school diploma or equivalent,None,Short-term on-the-job training
Desktop publishers,43-9031,Line item,9.5,8.2,-1.3,-13.7,15.6,0.9,"$46,910",Associate's degree,None,Short-term on-the-job training
Insurance claims and policy processing clerks,43-9041,Line item,247.8,242.0,-5.8,-2.3,0.3,24.6,"$45,520",High school diploma or equivalent,None,Moderate-term on-the-job training
"Mail clerks and mail machine operators, except postal service",43-9051,Line item,74.2,69.2,-5.0,-6.8,0.8,8.9,"$32,550",High school diploma or equivalent,None,Short-term on-the-job training
"Office clerks, general",43-9061,Line item,"2,751.8","2,621.1",-130.8,-4.8,0.4,325.4,"$37,030",High school diploma or equivalent,None,Short-term on-the-job training
"Office machine operators, except computer",43-9071,Line item,34.3,29.9,-4.4,-12.8,—,4.3,"$36,630",High school diploma or equivalent,None,Short-term on-the-job training
Proofreaders and copy markers,43-9081,Line item,10.5,10.7,0.2,2.4,30.0,1.5,"$43,940",Bachelor's degree,None,None
Statistical assistants,43-9111,Line item,8.5,8.6,0.1,1.7,19.2,0.9,"$48,160",Bachelor's degree,None,None
"Office and administrative support workers, all other",43-9199,Line item,176.7,164.8,-11.9,-6.7,9.1,19.0,"$37,900",High school diploma or equivalent,None,Short-term on-the-job training
"Farming, fishing, and forestry occupations",45-0000,Summary,"1,069.6","1,078.0",8.4,0.8,7.6,171.7,"$29,860",—,—,—
"Supervisors of farming, fishing, and forestry workers",45-1000,Summary,53.3,56.7,3.4,6.4,15.1,8.2,"$48,640",—,—,—
"First-line supervisors of farming, fishing, and forestry workers",45-1011,Line item,53.3,56.7,3.4,6.4,15.1,8.2,"$48,640",High school diploma or equivalent,Less than 5 years,None
Agricultural workers,45-2000,Summary,926.1,932.7,6.7,0.7,5.2,149.6,"$29,680",—,—,—
Agricultural inspectors,45-2011,Line item,14.1,14.2,0.1,0.5,1.4,2.5,"$45,140",Bachelor's degree,None,Moderate-term on-the-job training
Animal breeders,45-2021,Line item,7.3,7.6,0.3,4.3,1.7,1.2,"$40,090",High school diploma or equivalent,None,Short-term on-the-job training
"Graders and sorters, agricultural products",45-2041,Line item,35.1,34.8,-0.3,-0.8,3.2,5.2,"$29,630",No formal educational credential,None,Short-term on-the-job training
Miscellaneous agricultural workers,45-2090,Summary,869.6,876.1,6.6,0.8,5.3,140.6,"$29,680",—,—,—
Agricultural equipment operators,45-2091,Line item,66.6,74.7,8.0,12.1,5.3,12.1,"$36,360",No formal educational credential,None,Moderate-term on-the-job training
"Farmworkers and laborers, crop, nursery, and greenhouse",45-2092,Line item,562.9,575.7,12.8,2.3,6.7,92.6,"$29,630",No formal educational credential,None,Short-term on-the-job training
"Farmworkers, farm, ranch, and aquacultural animals",45-2093,Line item,228.5,213.6,-14.8,-6.5,1.9,34.0,"$29,630",No formal educational credential,None,Short-term on-the-job training
"Agricultural workers, all other",45-2099,Line item,11.6,12.1,0.6,4.9,5.7,2.0,"$32,550",No formal educational credential,None,Short-term on-the-job training
Fishing and hunting workers,45-3000,Summary,28.6,29.2,0.6,2.1,42.4,4.4,—,—,—,—
Fishing and hunting workers,45-3031,Line item,28.6,29.2,0.6,2.1,42.4,4.4,—,No formal educational credential,None,Moderate-term on-the-job training
"Forest, conservation, and logging workers",45-4000,Summary,61.7,59.4,-2.3,-3.7,21.3,9.5,"$39,050",—,—,—
Forest and conservation workers,45-4011,Line item,13.1,12.7,-0.4,-3.4,10.1,2.3,"$30,550",High school diploma or equivalent,None,Moderate-term on-the-job training
Logging workers,45-4020,Summary,48.5,46.7,-1.8,-3.7,24.4,7.2,"$46,330",—,—,—
Fallers,45-4021,Line item,5.6,5.1,-0.5,-9.1,24.5,0.8,"$47,700",High school diploma or equivalent,None,Moderate-term on-the-job training
Logging equipment operators,45-4022,Line item,34.3,33.2,-1.1,-3.3,24.4,5.2,"$46,400",High school diploma or equivalent,None,Moderate-term on-the-job training
Log graders and scalers,45-4023,Line item,4.5,4.6,0.2,3.5,23.9,0.7,"$37,820",High school diploma or equivalent,None,Moderate-term on-the-job training
"Logging workers, all other",45-4029,Line item,4.2,3.8,-0.3,-7.9,24.3,0.6,"$46,090",High school diploma or equivalent,None,Moderate-term on-the-job training
Construction and extraction occupations,47-0000,Summary,"7,026.0","7,278.9",252.9,3.6,15.9,723.4,"$48,210",—,—,—
Supervisors of construction and extraction workers,47-1000,Summary,735.5,765.4,29.9,4.1,8.6,72.7,"$72,010",—,—,—
First-line supervisors of construction trades and extraction workers,47-1011,Line item,735.5,765.4,29.9,4.1,8.6,72.7,"$72,010",High school diploma or equivalent,5 years or more,None
Construction trades workers,47-2000,Summary,"5,429.3","5,624.8",195.6,3.6,19.0,549.6,"$47,860",—,—,—
Boilermakers,47-2011,Line item,13.9,13.2,-0.6,-4.5,5.8,1.1,"$64,290",High school diploma or equivalent,None,Apprenticeship
"Brickmasons, blockmasons, and stonemasons",47-2020,Summary,76.9,77.8,0.9,1.2,16.1,7.4,"$56,950",—,—,—
Brickmasons and blockmasons,47-2021,Line item,66.2,67.6,1.4,2.2,16.1,6.5,"$59,340",High school diploma or equivalent,None,Apprenticeship
Stonemasons,47-2022,Line item,10.7,10.2,-0.5,-5.0,16.2,0.9,"$47,610",High school diploma or equivalent,None,Apprenticeship
Carpenters,47-2031,Line item,948.5,969.0,20.5,2.2,28.6,91.2,"$48,260",High school diploma or equivalent,None,Apprenticeship
"Carpet, floor, and tile installers and finishers",47-2040,Summary,115.1,120.2,5.1,4.5,26.7,10.7,"$47,310",—,—,—
Carpet installers,47-2041,Line item,27.2,24.8,-2.5,-9.0,26.7,2.0,"$46,640",No formal educational credential,None,Short-term on-the-job training
"Floor layers, except carpet, wood, and hard tiles",47-2042,Line item,25.2,27.6,2.4,9.4,26.7,2.5,"$48,060",No formal educational credential,None,Moderate-term on-the-job training
Floor sanders and finishers,47-2043,Line item,6.0,6.1,0.1,1.6,26.7,0.5,"$39,140",No formal educational credential,None,Moderate-term on-the-job training
Tile and stone setters,47-2044,Line item,56.7,61.8,5.1,9.0,26.7,5.6,"$47,810",No formal educational credential,None,Long-term on-the-job training
"Cement masons, concrete finishers, and terrazzo workers",47-2050,Summary,190.4,183.7,-6.7,-3.5,1.6,15.8,"$47,360",—,—,—
Cement masons and concrete finishers,47-2051,Line item,187.7,181.3,-6.4,-3.4,1.6,15.7,"$47,340",No formal educational credential,None,Moderate-term on-the-job training
Terrazzo workers and finishers,47-2053,Line item,2.7,2.4,-0.3,-11.2,—,0.2,"$48,680",High school diploma or equivalent,None,Apprenticeship
Construction laborers,47-2061,Line item,"1,358.4","1,430.3",71.9,5.3,28.4,143.2,"$37,770",No formal educational credential,None,Short-term on-the-job training
Construction equipment operators,47-2070,Summary,466.9,488.9,22.0,4.7,2.3,50.8,"$48,290",—,—,—
"Paving, surfacing, and tamping equipment operators",47-2071,Line item,45.0,47.5,2.5,5.5,2.5,4.9,"$46,960",High school diploma or equivalent,None,Moderate-term on-the-job training
Pile driver operators,47-2072,Line item,3.9,4.1,0.2,6.0,2.7,0.4,"$76,260",High school diploma or equivalent,None,Moderate-term on-the-job training
Operating engineers and other construction equipment operators,47-2073,Line item,418.0,437.3,19.3,4.6,2.2,45.4,"$48,360",High school diploma or equivalent,None,Moderate-term on-the-job training
"Drywall installers, ceiling tile installers, and tapers",47-2080,Summary,128.4,132.3,4.0,3.1,12.0,10.9,"$48,350",—,—,—
Drywall and ceiling tile installers,47-2081,Line item,111.6,115.7,4.1,3.7,12.0,9.6,"$48,040",No formal educational credential,None,Moderate-term on-the-job training
Tapers,47-2082,Line item,16.8,16.6,-0.1,-0.8,12.0,1.3,"$61,080",No formal educational credential,None,Moderate-term on-the-job training
Electricians,47-2111,Line item,711.2,761.4,50.2,7.1,7.1,79.9,"$60,040",High school diploma or equivalent,None,Apprenticeship
Glaziers,47-2121,Line item,56.9,59.2,2.3,4.0,8.2,6.5,"$47,180",High school diploma or equivalent,None,Apprenticeship
Insulation workers,47-2130,Summary,64.9,67.0,2.1,3.3,8.4,6.0,"$46,760",—,—,—
"Insulation workers, floor, ceiling, and wall",47-2131,Line item,33.7,34.9,1.3,3.8,8.4,3.1,"$39,880",No formal educational credential,None,Short-term on-the-job training
"Insulation workers, mechanical",47-2132,Line item,31.2,32.1,0.9,2.8,8.2,2.9,"$48,260",High school diploma or equivalent,None,Apprenticeship
Painters and paperhangers,47-2140,Summary,369.4,374.4,5.0,1.4,41.6,32.0,"$45,630",—,—,—
"Painters, construction and maintenance",47-2141,Line item,365.3,370.1,4.9,1.3,41.6,31.6,"$45,590",No formal educational credential,None,Moderate-term on-the-job training
Paperhangers,47-2142,Line item,4.1,4.2,0.1,3.0,42.3,0.4,"$47,610",No formal educational credential,None,Long-term on-the-job training
"Pipelayers, plumbers, pipefitters, and steamfitters",47-2150,Summary,503.6,511.7,8.2,1.6,8.7,51.8,"$59,310",—,—,—
Pipelayers,47-2151,Line item,34.6,33.7,-0.9,-2.6,3.0,3.2,"$45,980",No formal educational credential,None,Short-term on-the-job training
"Plumbers, pipefitters, and steamfitters",47-2152,Line item,469.0,478.0,9.1,1.9,9.1,48.6,"$59,880",High school diploma or equivalent,None,Apprenticeship
Plasterers and stucco masons,47-2161,Line item,31.4,32.7,1.3,4.0,13.8,2.9,"$48,340",No formal educational credential,None,Long-term on-the-job training
Reinforcing iron and rebar workers,47-2171,Line item,19.5,20.0,0.6,3.0,16.3,1.9,"$48,830",High school diploma or equivalent,None,Apprenticeship
Roofers,47-2181,Line item,158.8,161.1,2.3,1.4,17.9,15.0,"$47,110",No formal educational credential,None,Moderate-term on-the-job training
Sheet metal workers,47-2211,Line item,129.1,128.1,-1.0,-0.8,3.3,12.3,"$53,440",High school diploma or equivalent,None,Apprenticeship
Structural iron and steel workers,47-2221,Line item,69.0,72.0,3.0,4.3,0.8,7.5,"$58,550",High school diploma or equivalent,None,Apprenticeship
Solar photovoltaic installers,47-2231,Line item,17.1,21.7,4.6,27.2,3.5,2.5,"$47,670",High school diploma or equivalent,None,Moderate-term on-the-job training
"Helpers, construction trades",47-3000,Summary,213.8,211.4,-2.3,-1.1,2.1,25.3,"$36,510",—,—,—
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",47-3011,Line item,18.6,17.0,-1.5,-8.3,2.1,2.0,"$37,870",No formal educational credential,None,Short-term on-the-job training
Helpers--carpenters,47-3012,Line item,28.6,27.6,-1.0,-3.5,2.1,3.3,"$36,690",No formal educational credential,None,Short-term on-the-job training
Helpers--electricians,47-3013,Line item,74.6,72.5,-2.1,-2.8,2.0,8.6,"$36,360",High school diploma or equivalent,None,Short-term on-the-job training
"Helpers--painters, paperhangers, plasterers, and stucco masons",47-3014,Line item,9.1,9.3,0.2,2.6,2.1,1.1,"$33,370",No formal educational credential,None,Short-term on-the-job training
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",47-3015,Line item,47.8,48.8,1.0,2.0,2.1,5.9,"$35,720",High school diploma or equivalent,None,Short-term on-the-job training
Helpers--roofers,47-3016,Line item,7.0,7.1,0.1,1.9,2.1,0.9,"$36,360",No formal educational credential,None,Short-term on-the-job training
"Helpers, construction trades, all other",47-3019,Line item,28.2,29.2,1.0,3.4,2.0,3.6,"$36,690",No formal educational credential,None,Short-term on-the-job training
Other construction and related workers,47-4000,Summary,453.1,462.2,9.2,2.0,3.9,50.9,"$47,910",—,—,—
Construction and building inspectors,47-4011,Line item,129.2,123.4,-5.7,-4.4,6.7,14.8,"$61,640",High school diploma or equivalent,5 years or more,Moderate-term on-the-job training
Elevator and escalator installers and repairers,47-4021,Line item,23.2,23.9,0.7,2.9,0.5,2.1,"$97,860",High school diploma or equivalent,None,Apprenticeship
Fence erectors,47-4031,Line item,29.9,29.7,-0.2,-0.5,17.8,3.0,"$37,700",No formal educational credential,None,Moderate-term on-the-job training
Hazardous materials removal workers,47-4041,Line item,44.7,44.6,-0.1,-0.3,—,5.7,"$46,300",High school diploma or equivalent,None,Moderate-term on-the-job training
Highway maintenance workers,47-4051,Line item,145.9,156.3,10.4,7.1,0.6,16.5,"$45,880",High school diploma or equivalent,None,Moderate-term on-the-job training
